"ParticipantID" "Assignment.Comment" "speaker"
"1" "65" "" "The speaker appears to have a lisp. There were some words spoken that were actual words, but due to the lisp sounded as if they were not \"real\" words. Some examples are when the speaker says the words \"legacy\", \"pregnancy\", \"peninsula\", and more. The word \"legacy\", for instance, is phonetically leh-gah-see but the speaker pronounces it as leh-gah-she with the H sound. The lisp makes it difficult to further distinguish between ASI and ASHI pronunciation. "
"2" "66" "" "they kept eating the pen it was annoying "
"3" "70" "None" "I definitely noticed the mannerisms as well as the fixation on the pen that she was holding spinning it and putting it in her mouth.  It seems as if she was speaking deliberately.  Also was fixated on trying to look at her mouth when she was speaking especially when trying to make out the s or sh sound"
"4" "71" "none" "i felt like the voice was dubbed over the video."
"5" "72" "" "had a pen in her mouth sometimes "
"6" "73" "" "She was very interested in twirling, playing with, and chewing on the pen, as if she was very bored."
"7" "74" "it was pretty fun and easy." "No. They seemed like a regular person."
"8" "78" "" ""
"9" "79" "n/a" "the pen in the mouth "
"10" "81" "" ""
"11" "84" "" "The person in the video didn't seem to be speaking and the audio that was played was a dubbed audio track."
"12" "85" "I have none." "How bored she seemed and the fact that she had a pen in her mouth sometimes."
"13" "86" "" ""
"14" "87" "" "no, nothing odd other than talking with a pen in her mouth "
"15" "88" "" "No."
"16" "89" "" "The girl had a pen with her and she was constantly twirling it, biting it or putting it in or on her mouth."
"17" "90" "Last one was tough. They almost all sounded like ASHI to me. " "Just that she seemed annoyed and was chewing on her pen."
"18" "92" "" ""
"19" "93" "" "no"
"20" "94" "Did you get the made-up words from Lord of the Rings? By the end, I watched the video for really just the dot. In some cases, the way the speaker was showing the pronunciation sometimes didn't match the audio. The pen in the mouth was really annoying too." "She had a pen in her mouth for many of the word pronunciations."
"21" "96" "Thank you." "The pen.  There were moments where she was speaking with the pen in her mouth, and it started to become intentional."
"22" "97" "" "She always was doing something with the pen she was holding, either biting on the end or twirling it. "
"23" "98" "Great study. Thank you." "I didn't notice anything odd. I did notice that the speaker frequently had a pen in her mouth while speaking."
"24" "103" "" "she kept biting on her pen"
"25" "104" "" "She loves to chew on pens, which may mess with how she's saying words."
"26" "105" "" "Sometimes her mouth didn't line up with the word that was coming out"
"27" "107" "" "The audio did not always line up with the video. She did not always have a pen in her mouth when she made the \"sh\" sound and vice versa."
"28" "108" "That was interesting and different. Thank you for letting me participate." "Sometimes it looked like she was saying ashi but it sounded like asi. Also, she kept putting that pen in her mouth which obscured some of her speech."
"29" "112" "This was interesting!" "It was odd that the speaker often had a pen in her mouth when she was speaking. I could hear \"ashi\" when I could see her mouth moving (without the pen in the way) but I hear \"asi\" when I couldn't see her mouth. Weird. "
"30" "113" "I almost never heard the SH sound during that task. I didn't just keep selecting the same key every time indiscriminately." "not particularly"
"31" "114" "I was trying to watch her mouth to see if I could tell the \"S\" from the \"SH\" but I guess that wouldn't help me if the sounds and the videos were mixed. " "I didn't notice anything except that sometimes she had a pen in her mouth. "
"32" "115" "none" "The pen: sometimes, sometime not, in mouth.  Also, in the second part there seemed to be different ways that she pronounced both terms (i.e. the \"s\" and \"sh\" sounds; sometimes they were clearly distinct and identifiable, sometimes they seemed to be unclear or somewhere between both).  Also, the video and the audio I suspect were not properly matched (in the second part), intentionally I presume, as part of the experiment. "
"33" "116" "" "having a pen in her mouth sometimes"
"34" "117" "" "She kept chewing on a pen."
"35" "118" "" "She occasionally had a pen in her mouth which made it harder to read her lips."
"36" "119" "" "I didn't notice anything odd, although the person appeared to be bored and occasionally put a pen she was waving around in her mouth. However, I noticed nothing really odd."
"37" "121" "I didn't notice any white dots in Part 2." "Nothing seemed odd, just that sometimes she seemed to be trying to show different emotions / play a character."
"38" "122" "" "the pen in her mouth had to mean something"
"39" "123" "n/a" "It feels like she made eye contact more on fake words. Oh and she got excited to say \"dinosaur\" made me chuckle. "
"40" "124" "" "Her twirling around the pen."
"41" "125" "" "She sometimes put an object in her mouth while speaking."
"42" "126" "In the ASI/ASHI section, the sound clip seemed to literally be the same file, simply \"ASI\". (I noticed that it didn't always match up with her mouth in the video, and I'm not sure if this is coincidental, or a sign that I was getting slightly out of sync.)

